Cal_Disp, mm, Sen_Disp, mm, Temperature, 'c, Time, s 
Cal_Disp, mm, Sen_Disp, mm, Temperature, 'c, Time, s 
Cal_Disp, mm, Temperature, 'c, Time, s 
166 mm, 26 'c, 0.200000 s 
166 mm, 26 'c, 0.400000 s 
166 mm, 26 'c, 0.600000 s 
164 mm, 26 'c, 0.800000 s 
165 mm, 26 'c, 1.000000 s 
164 mm, 26 'c, 1.200000 s 
164 mm, 26 'c, 1.400000 s 
165 mm, 26 'c, 1.600000 s 
166 mm, 26 'c, 1.800000 s 
166 mm, 26 'c, 2.000000 s 
164 mm, 26 'c, 2.200000 s 
167 mm, 26 'c, 2.400000 s 
164 mm, 26 'c, 2.600000 s 
166 mm, 26 'c, 2.800000 s 
165 mm, 25 'c, 3.000000 s 
165 mm, 25 'c, 3.200000 s 
165 mm, 25 'c, 3.400000 s 
165 mm, 25 'c, 3.600000 s 
165 mm, 25 'c, 3.800000 s 
165 mm, 25 'c, 4.000000 s 
165 mm, 25 'c, 4.200000 s 
165 mm, 25 'c, 4.400000 s 
165 mm, 25 'c, 4.600000 s 
165 mm, 25 'c, 4.800000 s 
165 mm, 25 'c, 5.000000 s 
165 mm, 25 'c, 5.200000 s 
165 mm, 25 'c, 5.400000 s 
165 mm, 25 'c, 5.600000 s 
165 mm, 25 'c, 5.800000 s 
165 mm, 25 'c, 6.000000 s 
165 mm, 25 'c, 6.200000 s 
165 mm, 25 'c, 6.400000 s 
165 mm, 25 'c, 6.600000 s 
165 mm, 25 'c, 6.800000 s 
165 mm, 25 'c, 7.000000 s 
165 mm, 25 'c, 7.200000 s 
165 mm, 25 'c, 7.400000 s 
165 mm, 25 'c, 7.600000 s 
165 mm, 25 'c, 7.800000 s 
165 mm, 25 'c, 8.000000 s 
165 mm, 25 'c, 8.200000 s 
165 mm, 25 'c, 8.400000 s 
165 mm, 25 'c, 8.600000 s 
165 mm, 25 'c, 8.800000 s 
165 mm, 25 'c, 9.000000 s 
165 mm, 25 'c, 9.200000 s 
165 mm, 25 'c, 9.400000 s 
165 mm, 25 'c, 9.600000 s 
165 mm, 25 'c, 9.800000 s 
165 mm, 25 'c, 10.000000 s 
165 mm, 25 'c, 10.200000 s 
165 mm, 25 'c, 10.400000 s 
165 mm, 25 'c, 10.600000 s 
165 mm, 25 'c, 10.800000 s 
165 mm, 25 'c, 11.000000 s 
165 mm, 25 'c, 11.200000 s 
165 mm, 25 'c, 11.400000 s 
165 mm, 25 'c, 11.600000 s 
165 mm, 25 'c, 11.800000 s 
165 mm, 25 'c, 12.000000 s 
165 mm, 25 'c, 12.200000 s 
165 mm, 25 'c, 12.400000 s 
165 mm, 25 'c, 12.600000 s 
165 mm, 25 'c, 12.800000 s 
165 mm, 25 'c, 13.000000 s 
165 mm, 25 'c, 13.200000 s 
Cal_Disp, mm, Sen_Disp, mm, Temperature, 'c, Time, s 
Cal_Disp, mm, Temperature, 'c, Time, s 
164 mm, 26 'c, 0.200000 s 
166 mm, 26 'c, 0.400000 s 
165 mm, 26 'c, 0.600000 s 
164 mm, 25 'c, 0.800000 s 
166 mm, 26 'c, 1.000000 s 
166 mm, 26 'c, 1.200000 s 
165 mm, 26 'c, 1.400000 s 
164 mm, 25 'c, 1.600000 s 
165 mm, 25 'c, 1.800000 s 
164 mm, 26 'c, 2.000000 s 
164 mm, 26 'c, 2.200000 s 
166 mm, 26 'c, 2.400000 s 
163 mm, 25 'c, 2.600000 s 
165 mm, 25 'c, 2.800000 s 
165 mm, 26 'c, 3.000000 s 
165 mm, 26 'c, 3.200000 s 
165 mm, 26 'c, 3.400000 s 
165 mm, 26 'c, 3.600000 s 
165 mm, 26 'c, 3.800000 s 
165 mm, 26 'c, 4.000000 s 
165 mm, 26 'c, 4.200000 s 
165 mm, 26 'c, 4.400000 s 
165 mm, 26 'c, 4.600000 s 
165 mm, 26 'c, 4.800000 s 
165 mm, 26 'c, 5.000000 s 
165 mm, 26 'c, 5.200000 s 
165 mm, 26 'c, 5.400000 s 
165 mm, 26 'c, 5.600000 s 
165 mm, 26 'c, 5.800000 s 
165 mm, 26 'c, 6.000000 s 
165 mm, 26 'c, 6.200000 s 
165 mm, 26 'c, 6.400000 s 
165 mm, 26 'c, 6.600000 s 
165 mm, 26 'c, 6.800000 s 
165 mm, 26 'c, 7.000000 s 
165 mm, 26 'c, 7.200000 s 
165 mm, 26 'c, 7.400000 s 
165 mm, 26 'c, 7.600000 s 
165 mm, 26 'c, 7.800000 s 
165 mm, 26 'c, 8.000000 s 
165 mm, 26 'c, 8.200000 s 
165 mm, 26 'c, 8.400000 s 
165 mm, 26 'c, 8.600000 s 
165 mm, 26 'c, 8.800000 s 
165 mm, 26 'c, 9.000000 s 
165 mm, 26 'c, 9.200000 s 
165 mm, 26 'c, 9.400000 s 
165 mm, 26 'c, 9.600000 s 
165 mm, 26 'c, 9.800000 s 
165 mm, 26 'c, 10.000000 s 
165 mm, 26 'c, 10.200000 s 
165 mm, 26 'c, 10.400000 s 
165 mm, 26 'c, 10.600000 s 
165 mm, 26 'c, 10.800000 s 
165 mm, 26 'c, 11.000000 s 
165 mm, 26 'c, 11.200000 s 
165 mm, 26 'c, 11.400000 s 
165 mm, 26 'c, 11.600000 s 
165 mm, 26 'c, 11.800000 s 
165 mm, 26 'c, 12.000000 s 
165 mm, 26 'c, 12.200000 s 
165 mm, 26 'c, 12.400000 s 
165 mm, 26 'c, 12.600000 s 
165 mm, 26 'c, 12.800000 s 
165 mm, 26 'c, 13.000000 s 
165 mm, 26 'c, 13.200000 s 
Cal_Disp, mm, Temperature, 'c, Time, s 
166 mm, 26 'c, 0.200000 s 
166 mm, 26 'c, 0.400000 s 
166 mm, 26 'c, 0.600000 s 
166 mm, 26 'c, 0.800000 s 
165 mm, 25 'c, 1.000000 s 
165 mm, 25 'c, 1.200000 s 
